iso3,year,basic_water
EGY,2011,98.2135282519016
EGY,2012,98.1415728406932
EGY,2013,98.0695998327114
EGY,2014,97.9975794064633
EGY,2015,97.9255148711552
EGY,2016,97.8534422131452
EGY,2017,97.7818611616948
EGY,2018,97.710814412432
EGY,2019,97.6403544846485
EGY,2020,97.5705329201433
EGY,2021,97.5013675608953
EGY,2022,97.4328917169926
EGY,2023,97.3651944677444
EGY,2024,97.2982426280194
EMU,2000,99.65985890429334
EMU,2001,99.67226679062748
EMU,2002,99.68578969747716
EMU,2003,99.69918161015511
EMU,2004,99.71253327212271
EMU,2005,99.72609632638591
EMU,2006,99.73923921655518
EMU,2007,99.75175867270279
EMU,2008,99.76421952541247
EMU,2009,99.7813914846123
EMU,2010,99.80021634768717
EMU,2011,99.81834536564017
EMU,2012,99.83496436228072
EMU,2013,99.84536367509025
EMU,2014,99.8562712901866
EMU,2015,99.86238392823279
EMU,2016,99.86824432041048
EMU,2017,99.87320378449742
EMU,2018,99.87774258098436
EMU,2019,99.88197415294452
EMU,2020,99.8853240431178
EMU,2021,99.88835793020833
EMU,2022,99.89115187155029
EMU,2023,99.89390790139176
EMU,2024,99.89408999378387
ERI,2000,46.8142152971943
ERI,2001,47.1204233529644
ERI,2002,47.4409244567689
ERI,2003,47.7752228126397
ERI,2004,48.1234182056445
ERI,2005,48.4844074537935
ERI,2006,48.8594940483832
ERI,2007,49.2469532106027
ERI,2008,49.6487034568778
ERI,2009,49.8103238748975
ERI,2010,49.9773816653656
ERI,2011,50.1505293513249
ERI,2012,50.3291745608518
ERI,2013,50.7051288039864
ERI,2014,51.0835644393148
ERI,2015,51.4650919722432
ERI,2016,51.8497177620962
ERI,2017,NA
ERI,2018,NA
ERI,2019,NA
ERI,2020,NA
ERI,2021,NA
ERI,2022,NA
ERI,2023,NA
ERI,2024,NA
ESP,2000,99.9999986287101
ESP,2001,99.9999991097535
ESP,2002,100
ESP,2003,99.9999999264819
ESP,2004,99.9999964221336
ESP,2005,100
ESP,2006,100
ESP,2007,100
ESP,2008,100
ESP,2009,99.999999329905
ESP,2010,99.9999972813307
ESP,2011,99.9999999335079
ESP,2012,99.9861677203853
ESP,2013,99.9566408362607
ESP,2014,99.926942900271
ESP,2015,99.9267194862736
ESP,2016,99.9265065763433
ESP,2017,99.9262777210373
ESP,2018,99.9260612803023
ESP,2019,99.9258322377834
ESP,2020,99.9256069689441
ESP,2021,99.9253882857533
ESP,2022,99.9251513451199
ESP,2023,99.9249297229504
ESP,2024,99.9247001396709
EST,2000,97.4667553534915
EST,2001,97.6082566784307
EST,2002,97.7507016968826
EST,2003,97.8940454048991
EST,2004,98.038347638016
EST,2005,98.1836064927541
EST,2006,98.3297821115906
EST,2007,98.4769162327614
EST,2008,98.6250163424299
EST,2009,98.7740812931391
EST,2010,98.924086764246
EST,2011,99.075060117403
EST,2012,99.2291464773041
EST,2013,99.3847877447218
EST,2014,99.5393104564203
EST,2015,99.6927225302901
EST,2016,99.8450343236061
EST,2017,99.9257062109249
EST,2018,99.9485371012832
EST,2019,99.9714771406741
EST,2020,99.9945255363523
EST,2021,99.9999994683624
EST,2022,100
EST,2023,100
EST,2024,99.9999970212441
ETH,2000,18.7590608817132
ETH,2001,20.2861313623688
ETH,2002,21.8105947283134
ETH,2003,23.3303794917418
ETH,2004,24.8460769905675
ETH,2005,26.3576124690887
ETH,2006,27.8655119170134
ETH,2007,29.3784617293428
ETH,2008,30.9869711535733
ETH,2009,32.5882446657978
ETH,2010,34.1836897406234
ETH,2011,35.7718966203647
ETH,2012,37.3536456061453
ETH,2013,38.9189287309583
ETH,2014,40.4770660365689
ETH,2015,42.0272706430081
ETH,2016,43.569746379878
ETH,2017,45.1032760984933
ETH,2018,46.6289667749081
ETH,2019,48.1464763368745
ETH,2020,49.6550451612317
ETH,2021,51.1547750099921
ETH,2022,52.6449341831795
ETH,2023,54.125600929218
ETH,2024,55.5960696159493
EUU,2000,99.48691861628623
EUU,2001,99.50511003110984
EUU,2002,99.52596167418123
EUU,2003,99.546932911681
EUU,2004,99.56767073449717
EUU,2005,99.47025727827217
EUU,2006,99.48890601150092
EUU,2007,99.50675401615572
EUU,2008,99.5242306799606
EUU,2009,99.54512752672372
EUU,2010,99.521551551537
EUU,2011,99.49592892220028
EUU,2012,99.46999666755558
EUU,2013,99.4415806110876
EUU,2014,99.41480947284965
EUU,2015,99.37994816361402
EUU,2016,99.3449634545531
EUU,2017,99.30886820798789
EUU,2018,99.2731412606909
EUU,2019,99.23698748709654
